table_name|column_name|data_type|udt_name|is_nullable|column_default
briefing_reports|id|character varying|varchar|NO|
briefing_reports|title|character varying|varchar|NO|
briefing_reports|briefing_type|character varying|varchar|NO|
briefing_reports|date_from|date|date|NO|
briefing_reports|date_to|date|date|NO|
briefing_reports|requested_by_user_id|bigint|int8|YES|
briefing_reports|status|character varying|varchar|NO|'queued'::character varying
briefing_reports|progress|numeric|numeric|NO|0.0
briefing_reports|payload|jsonb|jsonb|YES|
briefing_reports|error_message|text|text|YES|
briefing_reports|confidence|numeric|numeric|YES|
briefing_reports|provenance|jsonb|jsonb|YES|
briefing_reports|created_at|timestamp with time zone|timestamptz|NO|now()
briefing_reports|completed_at|timestamp with time zone|timestamptz|YES|
briefing_reports|report_date|date|date|YES|
briefing_reports|period_label|text|text|YES|
briefing_reports|key_summary|text|text|YES|
briefing_reports|sk_implication|text|text|YES|
briefing_reports|related_card_ids|ARRAY|_text|NO|'{}'::text[]
briefing_reports|related_raw_article_ids|ARRAY|_int8|NO|'{}'::bigint[]
briefing_reports|recipients|jsonb|jsonb|NO|'[]'::jsonb
briefing_reports|delivery_history|jsonb|jsonb|NO|'[]'::jsonb
briefing_reports|legacy_payload|jsonb|jsonb|NO|'{}'::jsonb
briefing_reports|primary_card_news_id|character varying|varchar|YES|
briefing_reports|primary_peer_company_id|character varying|varchar|YES|
card_news|id|character varying|varchar|NO|
card_news|cluster_id|bigint|int8|YES|
card_news|title|character varying|varchar|NO|
card_news|summary_lines|ARRAY|_text|NO|'{}'::text[]
card_news|event_type|character varying|varchar|NO|'tech'::character varying
card_news|importance|character varying|varchar|NO|'low'::character varying
card_news|importance_score|double precision|float8|NO|0.0
card_news|implication|jsonb|jsonb|NO|'{}'::jsonb
card_news|sources|jsonb|jsonb|NO|'[]'::jsonb
card_news|validation_pass|boolean|bool|NO|false
card_news|validation_sc_score|double precision|float8|NO|0.0
card_news|is_human_reviewed|boolean|bool|YES|false
card_news|created_at|timestamp with time zone|timestamptz|YES|now()
card_news|company|character varying|varchar|NO|
card_news|peer_company_id|character varying|varchar|YES|
card_news|primary_keyword_category|character varying|varchar|YES|
card_news|keyword_categories|jsonb|jsonb|NO|'[]'::jsonb
card_news|keywords|ARRAY|_text|NO|'{}'::text[]
card_news|keyword_frequency|jsonb|jsonb|NO|'{}'::jsonb
card_news|source_raw_article_ids|ARRAY|_int8|NO|'{}'::bigint[]
card_news|source_articles|jsonb|jsonb|NO|'[]'::jsonb
card_news|evidence_payload|jsonb|jsonb|NO|'{}'::jsonb
card_news|image_assets|jsonb|jsonb|NO|'[]'::jsonb
